ExterQual,BsmtQual,BsmtExposure,KitchenQual,GarageFinish,Neighborhood,HouseStyle,Foundation,GarageType,OverallQual,YearBuilt,MasVnrArea,GrLivArea,TotRmsAbvGrd,Fireplaces,GarageArea,TotalSF,TotalBath,SalePrice
Gd,Gd,No,Gd,RFn,CollgCr,2Story,PConc,Attchd,7,2003,196.0,1710,8,0,548,2566,3.5,208500
TA,Gd,Gd,TA,RFn,Veenker,1Story,CBlock,Attchd,6,1976,0.0,1262,6,1,460,2524,2.5,181500
Gd,Gd,Mn,Gd,RFn,CollgCr,2Story,PConc,Attchd,7,2001,162.0,1786,6,1,608,2706,3.5,223500
TA,TA,No,Gd,Unf,Crawfor,2Story,BrkTil,Detchd,7,1915,0.0,1717,7,1,642,2473,2.0,140000
Gd,Gd,Av,Gd,RFn,NoRidge,2Story,PConc,Attchd,8,2000,350.0,2198,9,1,836,3343,3.5,250000
TA,Gd,No,TA,Unf,Mitchel,1.5Fin,Wood,Attchd,5,1993,0.0,1362,5,0,480,2158,2.5,143000
Gd,Ex,Av,Gd,RFn,Somerst,1Story,PConc,Attchd,8,2004,186.0,1694,7,1,636,3380,3.0,307000
TA,Gd,Mn,TA,RFn,NWAmes,2Story,CBlock,Attchd,7,1973,240.0,2090,7,2,484,3197,3.5,200000
TA,TA,No,TA,Unf,OldTown,1.5Fin,BrkTil,Detchd,7,1931,0.0,1774,8,2,468,2726,2.0,129900
TA,TA,No,TA,RFn,BrkSide,1.5Unf,BrkTil,Attchd,5,1939,0.0,1077,5,2,205,2068,2.0,118000
TA,TA,No,TA,Unf,Sawyer,1Story,CBlock,Detchd,5,1965,0.0,1040,5,0,384,2080,2.0,129500
Ex,Ex,No,Ex,Fin,NridgHt,2Story,PConc,BuiltIn,9,2005,286.0,2324,11,2,736,3499,4.0,345000
TA,TA,No,TA,Unf,Sawyer,1Story,CBlock,Detchd,5,1962,0.0,912,4,0,352,1824,2.0,144000
Gd,Gd,Av,Gd,RFn,CollgCr,1Story,PConc,Attchd,7,2006,306.0,1494,7,1,840,2988,2.0,279500
TA,TA,No,TA,RFn,NAmes,1Story,CBlock,Attchd,6,1960,212.0,1253,5,1,352,2506,2.5,157000
TA,TA,No,TA,Unf,BrkSide,1.5Unf,BrkTil,Detchd,7,1929,0.0,854,5,0,576,1686,1.0,132000
TA,TA,No,TA,Fin,NAmes,1Story,CBlock,Attchd,6,1970,180.0,1004,5,1,480,2008,2.0,149000
TA,NoBas,NoBas,TA,Unf,Sawyer,1Story,Slab,CarPort,4,1967,0.0,1296,6,0,516,1296,2.0,90000
TA,TA,No,Gd,Unf,SawyerW,1Story,PConc,Detchd,5,2004,0.0,1114,6,0,576,2228,2.5,159000
TA,TA,No,TA,Unf,NAmes,1Story,CBlock,Attchd,5,1958,0.0,1339,6,0,294,2368,1.0,139000
Gd,Ex,Av,Gd,RFn,NridgHt,2Story,PConc,BuiltIn,8,2005,380.0,2376,9,1,853,3534,3.5,325300
TA,TA,No,Gd,Unf,IDOTRR,1.5Unf,PConc,Attchd,7,1930,0.0,1108,6,1,280,1745,1.0,139400
Gd,Gd,No,Gd,RFn,CollgCr,1Story,PConc,Attchd,8,2002,281.0,1795,7,1,534,3572,2.0,230000
TA,Gd,No,TA,Unf,MeadowV,1Story,PConc,Attchd,5,1976,0.0,1060,6,1,572,2100,2.0,129900
TA,TA,Mn,Gd,Unf,Sawyer,1Story,CBlock,Attchd,5,1968,0.0,1060,6,1,270,2120,2.0,154000
Gd,Gd,No,Gd,RFn,NridgHt,1Story,PConc,Attchd,8,2007,640.0,1600,7,1,890,3166,2.0,256300
TA,TA,Mn,Gd,Unf,NAmes,1Story,CBlock,Detchd,5,1951,0.0,900,5,0,576,1800,1.5,134800
